"parcel_id","num_changes","tot_rent_change","total_days_on_market","initial_rent","days_til_first_change","first_change_amt","days_til_second_change","second_change_amt","days_til_third_change","third_change_amt","days_til_fourth_change","fourth_change_amt","days_til_fifth_change","fifth_change_amt","parcel_number","parcel_county","parcel_address1","parcel_address2","parcel_city","parcel_state","parcel_zipcode","parcel_longitude","parcel_latitude","land_use","acres","sqft_total","bedroom_count","bathroom_count","year_built","last_sale","last_price","total_value"
"16962749","0",,"7","3050",,,,,,,,,,,"052 152600100","Alameda","1842 63RD ST","","BERKELEY","CA","94703","-122.269427","37.847809","388","0.1084711","2750","5","3.500","1906","2012-11-16","980000","1081811"
"16963304","0",,"7","1250",,,,,,,,,,,"4041002045","Los Angeles","12111 HAWTHORNE WAY","","HAWTHORNE","CA","90250","-118.353869","33.922568","361","0.3471763","10578","1","31.000","1957","2014-05-06","0","2450124"
"16964399","0",,"2","2800",,,,,,,,,,,"1850202225","Ventura","656 IBIZA LN","","OXNARD","CA","93035","-119.210461","34.195317","385","0.0848485","1887","4","2.500","2005","2011-10-27","335000","377198"
"16967120","0",,"7","2375",,,,,,,,,,,"0135274010","Solano","533 SCOTTSDALE DR","","VACAVILLE","CA","95687","-121.949156","38.339729","385","0.1399908","1318","3","2.000","1978","2014-08-15","291000","313518"
"16967958","0",,"3","1850",,,,,,,,,,,"11907200380000","Sacramento","6810 PASEO DEL SOL WAY","","ELK GROVE","CA","95758","-121.430812","38.422557","385","0.1504591","1651","3","2.000","1989","1989-08-11","121500","200115"
"16969000","0",,"9","4410",,,,,,,,,,,"4176017020","Los Angeles","3008 HIGHLAND AVE","","MANHATTAN BEACH","CA","90266","-118.415868","33.896913","385","0.0400826","996","2","1.000","1928","1985-08-19","181500","323990"
"16970336","0",,"1","807",,,,,,,,,,,"102060008000","Shasta","2230 ATHENS AVE","","REDDING","CA","96001","-122.375665","40.579376","372","0.3581497","1435","2","1.000","1961","2010-09-22","1650000","157912"
"16970337","0",,"4","845",,,,,,,,,,,"102060009000","Shasta","2240 ATHENS AVE","","REDDING","CA","96001","-122.375635","40.579512","372","0.3582645","1435","2","1.000","1961","2010-09-22","1650000","157912"
"16971526","0",,"1","3795",,,,,,,,,,,"001 025702600","Alameda","311 2ND ST","APT 410","OAKLAND","CA","94607","-122.273282","37.794428","366","0.0000000","1266","2","2.000","2009","2014-04-30","599000","658240"
"16971596","1","-100","12","2450","17","-100",,,,,,,,,"5342101802","San Diego","1465 C ST","UNIT 3201","SAN DIEGO","CA","92101","-117.150925","32.716496","366","0.0000000","998","2","2.000",,"2009-10-30","330000","381848"
"16976456","0",,"5","2350",,,,,,,,,,,"279484055","Riverside","4445 OWENS ST","UNIT 103","CORONA","CA","92883","-117.504850","33.814052","366","0.0399908","1775","3","3.000","2006","2015-06-05","350000","369691"
"16977033","0",,"2","2495",,,,,,,,,,,"8000390245","Ventura","5480 SPANISH OAK LN","UNIT A","OAK PARK","CA","91377","-118.770721","34.179663","366","0.1313361","1204","2","2.500","1989","2004-10-07","432500","469000"
"16977075","0",,"7","1395",,,,,,,,,,,"28502010060000","Sacramento","1049 BELL ST","APT 9","SACRAMENTO","CA","95825","-121.411181","38.584963","","0.0000000","0","0","0.000",,"2003-02-28","0","0"
"16978561","0",,"1","1995",,,,,,,,,,,"0121510077","Contra Costa","191 PIPPO AVE","","BRENTWOOD","CA","94513","-121.700648","37.926194","385","0.1377410","1104","3","2.000","1965","1973-01-29","7000","50707"
"16978795","0",,"2","2495",,,,,,,,,,,"2585930171","Contra Costa","1519 CAMINO PERAL","APT B","MORAGA","CA","94556","-122.124213","37.838209","366","0.0298439","1272","2","2.000","1970","1998-04-17","175000","250476"
"16983910","0",,"12","4800",,,,,,,,,,,"6766 041","San Francisco","43 MANGELS AVE","","SAN FRANCISCO","CA","94131","-122.438563","37.732882","385","0.0573921","1025","0","1.000","1957","1984-01-10","0","61670"
"16984176","0",,"7","2495",,,,,,,,,,,"680282004","Riverside","32370 DESERT VISTA RD","","CATHEDRAL CITY","CA","92234","-116.461341","33.813136","385","0.1699954","2191","5","3.000","2007","2019-08-30","325000","237656"
"16987058","0",,"5","2285",,,,,,,,,,,"43406094","Santa Clara","1102 VINE ST","","SAN JOSE","CA","95110","-121.881809","37.317030","369","0.1549587","2034","0","0.000","1948",,"0","200257"
"16987159","0",,"10","8000",,,,,,,,,,,"11758105","Orange","1915 GLENWOOD LN","","NEWPORT BEACH","CA","92660","-117.896241","33.635085","385","0.2479339","2641","4","4.000","1966","2008-08-26","0","184908"
"16987815","0",,"3","2200",,,,,,,,,,,"1700740500","Mendocino","551 CHABLIS CT","","UKIAH","CA","95482","-123.222341","39.168616","385","0.0000000","0","0","0.000",,"2019-07-10","395000","340659"
"16988797","0",,"7","2200",,,,,,,,,,,"6020035009","Los Angeles","441 W 79TH ST","","LOS ANGELES","CA","90003","-118.281822","33.968124","378","0.1697199","5512","9","4.000",,"2009-12-28","301000","348292"
"16989278","0",,"5","2450",,,,,,,,,,,"6352002064","Los Angeles","716 DATE ST","","MONTEBELLO","CA","90640","-118.117413","33.989877","361","0.9738751","14331","22","18.000","1956","2019-04-23","3630000","740094"
"16991648","0",,"12","1975",,,,,,,,,,,"1602303338","San Diego","269 STAGE COACH RD","","OCEANSIDE","CA","92057","-117.330369","33.221582","366","8.1100092","1486","3","2.000","1975","1974-06-10","0","61455"
"16992144","0",,"12","4695",,,,,,,,,,,"2238010051","Los Angeles","6734 MATILIJA AVE","","VAN NUYS","CA","91405","-118.433241","34.193191","385","0.1036272","2350","3","3.000","1991","1996-04-26","186000","276973"
"16992733","0",,"5","1295",,,,,,,,,,,"5043401400","San Diego","9721 DALE AVE","","SPRING VALLEY","CA","91977","-116.987688","32.744737","361","0.8500000","18050","0","0.000","1976","2013-11-12","2650000","3251580"
"16994024","0",,"7","1450",,,,,,,,,,,"6761502810","San Diego","4060 HUERFANO AVE","UNIT 310","SAN DIEGO","CA","92117","-117.217676","32.814973","366","0.0000000","671","1","1.000","1972","2010-12-23","103000","118290"
"16995017","0",,"12","2295",,,,,,,,,,,"1593325900","San Diego","5320 MEAD ST","","OCEANSIDE","CA","92056","-117.266771","33.240302","385","0.0000000","1873","3","2.500","1988","1998-11-16","214500","301431"
"16998900","1","-50","12","9300","12","-50",,,,,,,,,"059303300","San Mateo","19 SELBY LN","","ATHERTON","CA","94027","-122.211313","37.466896","385","1.1088154","3740","5","3.500","1962","2005-04-12","2985000","3729956"
"16999486","0",,"12","1450",,,,,,,,,,,"22804900240000","Sacramento","4012 TRICIA WAY","","NORTH HIGHLANDS","CA","95660","-121.370976","38.655197","369","0.1500000","2000","4","3.000","1976","2011-10-31","133000","149214"
"16999697","1","-100","12","2200","17","-100",,,,,,,,,"0104100441","Contra Costa","219 UPTON PYNE DR","","BRENTWOOD","CA","94513","-121.729129","37.921775","385","0.0623278","1022","2","2.000","1998","2005-03-23","340000","395000"
"17000572","0",,"5","1800",,,,,,,,,,,"4464131621","San Diego","3957 30TH ST","UNIT 221","SAN DIEGO","CA","92104","-117.129794","32.749620","366","0.0000000","744","1","1.000",,"2010-05-28","180500","208534"
"17002656","0",,"3","1875",,,,,,,,,,,"1860062055","Ventura","1310 ALTURAS ST","","OXNARD","CA","93035","-119.201496","34.186629","377","0.0500000","910","2","1.000","1973","1981-12-14","0","52524"
"17003387","0",,"5","2300",,,,,,,,,,,"01746502000","Santa Cruz","807 DELTA WAY","","WATSONVILLE","CA","95076","-121.735783","36.920843","385","0.1059917","1276","2","2.000","1977","1990-06-22","183500","96238"
"17004286","0",,"2","1795",,,,,,,,,,,"451021044","Riverside","751 W STETSON AVE","","HEMET","CA","92543","-116.978862","33.729047","372","0.6899908","0","0","0.000",,"2011-11-16","2500000","1032147"
"17006127","0",,"12","2200",,,,,,,,,,,"001132012000","Placer","136 BUENA VISTA ST","","AUBURN","CA","95603","-121.082487","38.897030","385","0.0000000","1635","3","2.000","1967","2015-12-08","0","301666"
"17008901","0",,"8","2495",,,,,,,,,,,"2810095167","Los Angeles","24064 MEADOWBROOK LN","","VALENCIA","CA","91354","-118.557766","34.434890","366","0.7341139","1330","3","3.000","2005","2009-01-15","305000","352084"
"17018488","0",,"5","9900",,,,,,,,,,,"3502900100","San Diego","524 COAST BLVD S","","LA JOLLA","CA","92037","-117.279877","32.843414","109","0.0883838","2389","3","3.000","1980","2013-07-24","3750000","460422"
"17018899","0",,"7","925",,,,,,,,,,,"051240029000","Shasta","6181 VERDE VALE CT","","ANDERSON","CA","96007","-122.330995","40.466791","372","0.2100092","1600","2","1.000","1962","2018-07-20","2820000","176250"
"17019219","0",,"5","1250",,,,,,,,,,,"096341013000","Tulare","607 W CAMBRIDGE AVE","","VISALIA","CA","93277","-119.297684","36.314384","385","0.0000000","1260","3","1.750","1967",,"0","45036"
"17019242","0",,"9","2400",,,,,,,,,,,"128510011","Sonoma","920 5TH ST W","UNIT L","SONOMA","CA","95476","-122.468006","38.284388","377","0.0662994","1202","2","2.000","1986","2017-10-05","530000","540598"
"17019941","2","-150","12","2650","3","-100","15","-50",,,,,,,"2231902461","San Diego","7313 CALLE ALMA","","CARLSBAD","CA","92009","-117.240596","33.092363","366","0.0000000","1158","2","2.000","1986","2007-01-19","0","330930"
"17027215","0",,"7","2250",,,,,,,,,,,"1006532150000","San Bernardino","1509 BARCELONA CT","","UPLAND","CA","91786","-117.678368","34.107508","366","0.0300046","1650","3","2.500","2012","2012-08-07","292500","322894"
"17028451","0",,"4","850",,,,,,,,,,,"44501310","Orange","2300 DUPONT DR","","IRVINE","CA","92612","-117.857341","33.672598","372","0.0000000","0","0","0.000",,"2009-12-15","27000000","31237673"
"17035935","0",,"11","2200",,,,,,,,,,,"0128521050000","San Bernardino","1041 N IDYLLWILD AVE","","RIALTO","CA","92376","-117.386782","34.118486","385","0.1951331","1880","4","2.500","1980","2015-01-15","0","196717"
"17035945","0",,"12","5500",,,,,,,,,,,"6521 061","San Francisco","2877 FOLSOM ST","","SAN FRANCISCO","CA","94110","-122.413629","37.751298","369","0.0774793","2070","8","9.000","1900","2019-01-29","0","2432319"
"17036736","0",,"7","2295",,,,,,,,,,,"002011004000","Placer","567 LANDIS CIRCLE CIR","","AUBURN","CA","95603","-121.070280","38.908101","385","0.0000000","1973","3","3.000","2005","2005-09-28","445000","463372"
"17038862","0",,"5","2345",,,,,,,,,,,"4455412900","San Diego","4194 OREGON ST","","SAN DIEGO","CA","92104","-117.135357","32.753866","385","0.0964876","940","2","1.000","1926","2013-03-27","432500","477433"
"17046627","0",,"10","2900",,,,,,,,,,,"2074015500","San Diego","4812 COURAGEOUS LN","","CARLSBAD","CA","92008","-117.317790","33.146359","385","0.0000000","1740","2","2.500","1988","2015-06-30","601000","647508"
"17051732","0",,"12","2600",,,,,,,,,,,"4854701500","San Diego","8740 ELDEN ST","","LA MESA","CA","91942","-117.009506","32.786165","385","0.1331497","1027","3","1.000","1953","2019-05-06","445000","60008"
"17052268","0",,"3","1175",,,,,,,,,,,"045740010000","Butte","1178 E 1ST AVE","","CHICO","CA","95926","-121.829186","39.747496","270","0.0199954","1206","3","2.000","1977","1988-08-10","38000","79042"
"17052975","0",,"12","2950",,,,,,,,,,,"1671122900","San Diego","2210 NOB HILL DR","","CARLSBAD","CA","92008","-117.329483","33.171958","385","0.2571166","1430","3","2.000","1970","2012-06-12","480000","540467"
"17053209","0",,"5","3550",,,,,,,,,,,"42537246","Orange","4312 SPINDRIFT WAY","","NEWPORT BEACH","CA","92663","-117.931349","33.627584","385","0.0328972","1440","3","3.000","1962","2011-04-21","0","322159"
"17054132","0",,"5","1895",,,,,,,,,,,"021600027000","Placer","2123 3RD ST","","LINCOLN","CA","95648","-121.318861","38.888992","385","0.0000000","1582","3","2.000","1991","2002-09-05","220000","285623"
